-0.5470037	0.4	0.00001588	0.00008305
-0.3556397	-6.9	0.00001848	0.00006906
0.2714684	-1.5	0.000018	0.00007103
0.4769702	1.3	0.00001398	0.0000905
0	0	0	0
2.5195714	5.7	0.00000656	0.00015827
0	0	0	0
1.989487	-5.7	0.00004639	0.00016984
0	0	0	0
-0.437598	-4.2	0.00004021	0.00011795
0	0	0	0
-0.1996	-1.6	0.00003419	0.00011738
0	0	0	0
-0.0951275	0.5	0.00003009	0.00013984
0	0	0	0
-1.2771555	4.3	-0.00001582	0.00008803
0	0	0	0
-0.008293	1.9	0.00001589	0.00010896
0	0	0	0
-0.5332895	3.9	-0.00002027	0.00009752
0	0	0	0
0.1487015	-0.2	0.00001473	0.00011622
0	0	0	0
-0.000006	0	0.00001459	0.00011006
0	0	0	0
0.490777	-1.4	0.00002833	0.00012135
0	0	0	0
-0.000641	0	0.00001741	0.00011558
0	0	0	0
-0.000115	0	0.00001736	0.00011546
0	0	0	0
-6.3200038	-59.9	0.00249074	0.00126614
0	0	0	0
0	0	0	0
0	0	0	0
0.0199828	-0.7	0.00002546	0.0000111
0	0	0	0
0	0	0	0
0	0	0	0
0.02	-0.8	0.00002583	0.00001057
0	0	0	0
0	0	0	0
0	0	0	0
0	-0.1	0.00002573	0.00001076
0	0	0	0
0	0	0	0
0	0	0	0
0.0100167	-0.4	0.00002601	0.00001032
0	0	0	0
0	0	0	0
0	0	0	0
-0.0199997	-2.1	0.00002512	0.00001265
0	0	0	0
0	0	0	0
0	0	0	0
8.332531	39.9	0.00289123	0.00489754
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0.00781	-1.3	0.00016554	0.00020867
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0.430476	1.2	0.00005206	0.00011251
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
1.029934	8.1	-0.00003454	0.00027345
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0.390603	-0.9	0.00001789	0.00018775
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
-0.2709825	-2.6	0.00005871	0.00013973
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
-0.0499175	-2.1	0.00007921	0.00013704
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0.0600865	0	0.00004444	0.00013276
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
-0.1279105	1.7	0.00005726	0.0001688
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
-0.161363	-2.4	0.00006684	0.00012703
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0.29875	-0.9	0.00007714	0.00013635
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
-0.249841	-0.4	0.00006149	0.00012131
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
-0.199033	-2	0.00008266	0.00010199
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
-0.03013	-0.8	0.00006769	0.00012488
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
-0.43043	1.2	0.00007919	0.00010983
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
-2.4888965	4.3	0.0000119	0.00007574
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
-0.9716975	0.1	0.00004142	0.00008986
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
-0.118486	-0.5	0.00004202	0.00008592
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
-0.410895	-1.8	0.00002631	0.00007665
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0.269375	2.7	0.00003792	0.00010776
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0.540051	-3.1	0.00006571	0.0000937
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0.249949	-3.6	0.00006084	0.00008446
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0.510131	1.1	0.00004939	0.00009241
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0.179915	2.2	0.00004641	0.00010547
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
-0.199789	-0.6	0.0000533	0.00011543
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
-0.45006	-1.2	0.00005314	0.00009815
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
-0.598076	0.1	0.00005682	0.00007385
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
-0.387959	3	0.0000197	0.00009776
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
-0.9241345	2.5	0.00001784	0.00007519
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
-1.8499432	19.5	-0.00001026	0.00006178
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
-0.2196069	25.2	-0.0000421	0.00008822
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
-0.1792554	15.5	-0.00003399	0.00007012
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
-0.4458476	17.5	-0.00003798	0.00001551
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
1.0962056	4	-0.00006649	0.00007041
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
1.289298	12.8	-0.00007995	0.00004617
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
1.899122	13.4	-0.00011954	0.00001822
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
1.25002	-2	-0.00010152	0.00005043
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0.890438	-2	-0.00010136	0.00004567
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
-0.210383	0.7	-0.00008146	0.00002294
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
-0.186614	-0.1	-0.00006984	0.0000452
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
-0.622003	0.3	-0.00008241	0.00004498
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
-0.311328	-0.2	-0.00007338	0.00001655
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0.405314	3.7	-0.00009506	0.00003455
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
-0.279145	-3.1	-0.0000858	0.00003658
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0.015965	-1	-0.00008788	0.0000392
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0.12806	-0.4	-0.00008461	0.00004109
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0.65105	-2.3	-0.00008733	0.00004569
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
-0.951244	2.4	-0.00005608	0.00001421
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
-0.008791	0	-0.00008892	0.00004837
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
-1.030864	0.1	-0.00005894	0.00003516
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
-0.6903156	-1.8	-0.00006463	0.00003083
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
-0.4499159	-2.8	-0.00005626	0.0000337
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
-2.5602021	2.3	-0.00005553	0.00000393
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
-0.1100414	-0.6	-0.00004917	0.00003017
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
-1.0593307	-0.7	-0.00003365	0.00002389
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0.1393307	-2.6	-0.00003164	0.00002115
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
-0.0686598	1.3	-0.0000314	0.00002683
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
